tconst,originalTitle,genres
tt1473357,Fatal,"Comedy,Music"
tt14760906,Grand marin,Drama
tt14778456,Annie colère,"Comedy,Drama"
tt14827236,Dernier Soleil,"Action,Drama"
tt14995258,Sous emprise,"Drama,Romance,Sport"
tt15000700,Houria,Drama
tt1503096,Camping 2,Comedy
tt15049366,Les Bodin's en Thaïlande,Comedy
tt1508675,Le Havre,"Comedy,Drama"
tt1509742,La vie au ranch,"Comedy,Drama"
tt15115102,Un autre monde,Drama
tt15153138,La page blanche,"Comedy,Fantasy,Romance"
tt15166808,Tant que le soleil frappe,Drama
tt15167162,Les volets verts,Drama
tt15170560,Reprise en main,"Comedy,Drama"
tt1524565,Nos résistances,"Drama,History,Romance"
tt1528313,Rien à déclarer,Comedy
tt1545322,Sodium Babies,"Drama,Fantasy,Horror"
tt1545677,Les yeux de sa mère,Drama
tt1545759,À bout portant,"Action,Crime,Drama"
tt15471560,Fumer fait tousser,"Comedy,Horror,Sci-Fi"
tt15484716,En roue libre,"Comedy,Drama"
tt1549589,Elles,Drama
tt1555084,La terre outragée,Drama
tt15665948,Avant l'effondrement,"Comedy,Drama"
tt15676954,Mon héroïne,"Biography,Comedy"
tt15732372,Le parfum vert,"Comedy,Crime,Mystery"
tt15740768,Heartbeast,"Drama,Music,Thriller"
tt1576450,Pieds nus sur les limaces,Drama
tt1578259,Atlantis Down,"Action,Sci-Fi"
tt15783304,Cet été-là,"Comedy,Drama"
tt1581634,La lisière,Drama
tt1582244,Présumé coupable,"Biography,Crime,Drama"
tt1588337,Des hommes et des dieux,"Drama,History"
tt1591622,10½,Drama
tt1594503,L'âge de raison,"Comedy,Romance"
tt1597522,Astérix & Obélix: Au service de sa Majesté,"Adventure,Comedy,Family"
tt1599975,La princesse de Montpensier,"Action,Drama,History"
tt1600524,Les amours imaginaires,"Drama,Romance"
tt1602620,Amour,Drama
tt16034348,Lorsque le coeur dérange,Drama
tt1605769,Le moine,"Drama,Mystery,Thriller"
tt16148552,Le paradis,Drama
tt1618447,Un amour de jeunesse,"Drama,Romance"
tt1640144,Le masque de la Méduse,"Fantasy,Horror,Mystery"
tt1642191,Chez Gino,Comedy
tt1646974,Le nom des gens,"Comedy,Drama,Romance"
tt1646985,Un poison violent,Drama
tt16491386,En même temps,Comedy
tt1650048,Laurence Anyways,"Drama,Romance"
tt1651328,Notre jour viendra,Drama
tt1655442,The Artist,"Comedy,Drama,Romance"
tt1656192,Forces spéciales,"Action,Drama,War"
tt1657513,Louis Cyr,"Biography,Drama,History"
tt1659619,L'odyssée,"Adventure,Biography,Drama"
tt1663321,Poulet aux prunes,"Comedy,Drama"
tt1667100,La chance de ma vie,"Comedy,Romance"
tt1667890,Journal d'un coopérant,Drama
tt1668200,Elle s'appelait Sarah,"Drama,War"
tt1671494,Un baiser papillon,Drama
tt1674692,French Immersion,Comedy
tt1675434,Intouchables,"Comedy,Drama"
tt1683921,Nuit blanche,"Action,Crime,Thriller"
tt1691877,Reste avec moi,Drama
tt17009856,Le lycéen,Drama
tt17014214,Un petit frère,Drama
tt17049070,Jumeaux mais pas trop,Comedy
tt17049112,La revanche des Crevettes Pailletées,Comedy
tt1708473,Gerry,Biography
tt17157266,Allons enfants,Documentary
tt1723642,Sur la piste du Marsupilami,"Adventure,Comedy,Family"
tt1727516,Livide,"Fantasy,Horror"
tt1729218,R.I.F. (Recherches dans l'Intérêt des Familles),"Crime,Thriller"
tt1741660,L'appât,"Action,Comedy,Crime"
tt17505492,La maison,Drama
tt1757912,"Titeuf, le film","Animation,Comedy,Family"
tt17634642,Les petites victoires,Comedy
tt1790790,Nos ancêtres les Gauloises,Documentary
tt1794850,La vérité si je mens! 3,Comedy
tt17977602,38°5 quai des Orfèvres,Comedy
tt1815799,Les bien-aimés,"Comedy,Drama,Musical"
tt18160646,Seule: Les dossiers Silvercloud,"Mystery,Thriller"
tt1816518,Ernest et Célestine,"Adventure,Animation,Comedy"
tt1817191,La vie d'une autre,"Comedy,Drama,Mystery"
tt1817286,38 témoins,Drama
tt18298524,Les complices,"Comedy,Crime"
tt1847731,Tomboy,Drama
tt18556486,Les gardiennes de la planète,Documentary
tt1860152,17 filles,Drama
tt18626656,Arrête avec tes mensonges,Drama
tt1872225,Water Makes Money,"Documentary,News"
tt1872880,Un bonheur n'arrive jamais seul,"Comedy,Romance"
tt1879030,Q,"Drama,Romance"
tt1886651,Rasputin,"Biography,Drama,History"
tt1890377,Bienvenue à bord,Comedy
tt1891968,Torpedo,Comedy
tt1906425,Mesnak,Drama
tt1920984,La désintégration,Drama
tt1921068,David et Madame Hansen,Drama
tt1931544,Sport de filles,"Drama,Sport"
tt1934205,Ce que le jour doit à la nuit,"Drama,Romance"
tt19495994,Ima,"Drama,Music,Romance"
tt19719862,Les pires,"Comedy,Drama"
tt19719940,Rodéo,Drama
tt19722066,Ducobu Président !,"Comedy,Family"
tt1974287,JC comme Jésus Christ,Comedy
tt19783626,"Arthur, malédiction","Horror,Thriller"
tt19841734,L'innocent,"Comedy,Crime,Romance"
tt19858178,Les vieux fourneaux 2: Bons pour l'asile,Comedy
tt19891500,Pour la France,Drama
tt2018086,Camille Claudel 1915,"Biography,Drama"
tt20192062,"Zodi & Tehu, frères du désert","Adventure,Family"
tt20227026,Grand Paris,Comedy
tt20249446,La cour des miracles,Comedy
tt2027140,L'écume des jours,"Comedy,Drama,Fantasy"
tt2033250,Extase,Drama
tt2033328,Ne nous soumets pas à la tentation,Drama
tt20413946,Tout fout le camp,Comedy
tt2053425,De rouille et d'os,"Drama,Romance"
tt20673856,Searching for Cherkaski,Documentary
tt20754462,Temps mort,Drama
tt2076176,Cloclo,"Biography,Drama,Music"
tt2076220,Holy Motors,"Drama,Fantasy"
tt20766628,Quand tu seras grand,"Comedy,Drama"
tt2077908,Zarafa,"Adventure,Animation,Family"
tt2094898,Nous York,"Adventure,Comedy,Drama"
tt2095685,L'oncle Charles,Comedy
tt21028846,Le sixième enfant,Drama
tt2104062,Mes héros,"Comedy,Drama"
tt21042306,Stella est amoureuse,"Comedy,Drama"
tt2106590,Ouf,Drama
tt2112204,Mobile Home,"Comedy,Drama"
tt21230040,Petites,Drama
tt21249808,Jack Mimoun & les secrets de Val Verde,"Adventure,Comedy"
tt21256038,Tempête,Drama
tt21398920,Amore mio,Drama
tt21431680,Trois nuits par semaine,"Comedy,Drama,Romance"
tt2152779,Ma première fois,"Drama,Romance"
tt21627730,Youssef Salem a du succès,Comedy
tt2165236,En solitaire,"Adventure,Drama,Sport"
tt2177827,The Search,"Drama,War"
tt2193782,Do Not Disturb,"Comedy,Drama,Romance"
tt2194607,Le paradis des bêtes,"Comedy,Drama"
tt2195982,Columbarium,"Drama,Fantasy,Thriller"
tt22039496,La guerre des Lulus,"Adventure,Drama"
tt22083308,Harawi,Musical
tt22180518,Disco Boy,Drama
tt2245245,Trou Story,Documentary
tt2261749,La cage dorée,"Comedy,Drama"
tt22648880,13 Notes en Rouge,Horror
tt2276778,Les profs,Comedy
