nconst,primaryName,knownForTitles
nm0400816,Miko Hughes,"tt0099938,tt0098084,tt0120749,tt0112384"
nm0515973,Emily Ann Lloyd,"tt0112384,tt0099938,tt0078638,tt0118376"
nm0770788,Mary Kate Schellhardt,"tt0112384,tt0108550,tt0113114,tt0972412"
nm0805189,Max Elliott Slade,"tt0098067,tt0103596,tt0109015,tt0112384"
nm0000154,Mel Gibson,"tt0112573,tt0104714,tt0118883,tt0117438"
nm0000521,Sophie Marceau,"tt0082100,tt0143145,tt0112573,tt1194616"
nm0001526,Patrick McGoohan,"tt0061287,tt0112573,tt1466074,tt0117913"
nm0005171,Angus Macfadyen,"tt0238380,tt0489270,tt0112573,tt1389137"
nm0181920,James Cosmo,"tt0112573,tt0091203,tt0332452,tt0363771"
nm0202704,Bruce Davey,"tt2119532,tt0112573,tt0335345,tt0465580"
nm0492566,Sean Lawlor,"tt0112573,tt0107207,tt1350498,tt1056026"
nm0569336,Sean McGinley,"tt0410400,tt0112573,tt0117039,tt0215693"
nm0625729,Sandy Nelson,"tt0112573,tt0281491,tt0407711,tt0388578"
nm0732703,James Robinson,"tt0112573,tt3006802,tt10098580,tt3138900"
nm0848100,Alan Tall,"tt0112573,tt4157316,tt0237269,tt0087072"
nm0000134,Robert De Niro,"tt0101540,tt0081398,tt0077416,tt0075314"
nm0000217,Martin Scorsese,"tt5537002,tt0075314,tt0070379,tt0099685"
nm0000232,Sharon Stone,"tt0103772,tt0112641,tt0114214,tt0108162"
nm0000249,James Woods,"tt0120877,tt0119282,tt0159097,tt0086541"
nm0000582,Joe Pesci,"tt0099685,tt0081398,tt1302006,tt0104952"
nm0001629,Kevin Pollak,"tt0114814,tt0146675,tt0327247,tt0104257"
nm0428618,L.Q. Jones,"tt0119051,tt0120746,tt0065214,tt0112641"
nm0454418,Alan King,"tt0112641,tt0088889,tt0266915,tt0063227"
nm0725543,Don Rickles,"tt0065938,tt0112641,tt0114709,tt0120363"
nm0810686,Dick Smothers,"tt0112641,tt0061296,tt1130080,tt0098369"
nm0898634,Frank Vincent,"tt0099685,tt0141842,tt0112641,tt0081398"
nm0000243,Denzel Washington,"tt2671706,tt1037705,tt0139654,tt0168786"
nm0000432,Gene Hackman,"tt0067116,tt0095647,tt0265666,tt0105695"
nm0001169,George Dzundza,"tt0112740,tt0103772,tt0077416,tt0112792"
nm0001254,James Gandolfini,"tt0141842,tt2390361,tt1764234,tt0236493"
nm0001557,Viggo Mortensen,"tt0167260,tt3553976,tt0167261,tt0898367"
nm0001716,Tony Scott,"tt0421054,tt0477080,tt0092099,tt0108399"
nm0002023,Matt Craven,"tt0112740,tt0104257,tt1270798,tt0099871"
nm0004968,Jaime Gomez,"tt0139654,tt0112740,tt0109444,tt0115285"
nm0122020,Scott Burkholder,"tt0112740,tt0117119,tt0118880,tt0244244"
nm0140969,Rocky Carroll,"tt0112740,tt1068680,tt0364845,tt0096969"
nm0587379,Michael Milhoan,"tt0097351,tt0160862,tt0112740,tt0116253"
nm0800971,Don Simpson,"tt0099371,tt0117500,tt0086960,tt0112740"
nm0000168,Samuel L. Jackson,"tt0110912,tt3460252,tt4154664,tt2802144"
nm0000246,Bruce Willis,"tt0095016,tt0110912,tt0088571,tt0167404"
nm0000460,Jeremy Irons,"tt0094964,tt0110357,tt2094766,tt2975590"
nm0001295,Graham Greene,"tt0120689,tt5362988,tt0099348,tt0110478"
nm0001532,John McTiernan,"tt0095016,tt0246894,tt0107362,tt0093773"
nm0117365,Larry Bryggman,"tt0112864,tt0266987,tt0048845,tt0078718"
nm0131974,Colleen Camp,"tt0088930,tt0108162,tt0112864,tt0105793"
nm0150255,Kevin Chamberlin,"tt0257044,tt1442437,tt3609352,tt0112864"
nm0669625,Anthony Peck,"tt0099810,tt0112864,tt0095016,tt0107362"
nm0680767,Sam Phillips,"tt0112864,tt0349710,tt1263670,tt0117737"
nm0846333,Michael Tadross,"tt0480249,tt0988045,tt0264395,tt2199571"
nm0943848,Nick Wyman,"tt0093748,tt0112864,tt0252076,tt0280760"
nm0000112,Pierce Brosnan,"tt0143145,tt0795421,tt0120347,tt0155267"
nm0000293,Sean Bean,"tt0120737,tt0944947,tt1181791,tt0167261"
nm0000463,Famke Janssen,"tt0376994,tt0113189,tt0120903,tt0185371"
nm0000833,Joe Don Baker,"tt0113189,tt0112715,tt0116996,tt0093428"
nm0001059,Robbie Coltrane,"tt0105977,tt0241527,tt0295297,tt0143145"
nm0001086,Alan Cumming,"tt0254099,tt0290334,tt0113189,tt0362165"
nm0001132,Judi Dench,"tt1074638,tt0465551,tt0138097,tt1412386"
nm0001409,Tchéky Karyo,"tt0100263,tt0298814,tt0187393,tt0112442"
nm0001713,Izabella Scorupco,"tt0113189,tt0253556,tt0190865,tt0204313"
nm0110483,Barbara Broccoli,"tt1074638,tt0381061,tt2382320,tt0113189"
nm0132709,Martin Campbell,"tt0381061,tt0190865,tt0120746,tt1226273"
nm0424167,Gottfried John,"tt0133385,tt0113189,tt0079095,tt0106144"
nm0933865,Michael G. Wilson,"tt0097742,tt1074638,tt0082398,tt0120347"
nm0000134,Robert De Niro,"tt0101540,tt0081398,tt0077416,tt0075314"
nm0000171,Ashley Judd,"tt0150377,tt0470705,tt0119468,tt0113277"
nm0000174,Val Kilmer,"tt0101761,tt0120053,tt0373469,tt0235737"
nm0000199,Al Pacino,"tt0070666,tt0072890,tt0068646,tt0099422"
nm0000312,Amy Brenneman,"tt0209069,tt0113277,tt0116287,tt0116040"
nm0000520,Michael Mann,"tt0140352,tt0369339,tt0104691,tt0083190"
nm0000685,Jon Voight,"tt0064665,tt0118615,tt0068473,tt0089941"
nm0001744,Tom Sizemore,"tt0120815,tt0265086,tt0120004,tt0113277"
nm0513165,Art Linson,"tt0758758,tt0094226,tt0137523,tt0486674"
nm0836071,Wes Studi,"tt0104691,tt0113277,tt0132347,tt0118956"
nm0893204,Diane Venora,"tt0113277,tt0119395,tt0117509,tt0094747"
nm0932112,Mykelti Williamson,"tt0109830,tt4094724,tt2671706,tt0113277"
nm0000245,Robin Williams,"tt0107614,tt0093105,tt0077053,tt0265459"
nm0000379,Kirsten Dunst,"tt0145487,tt1527186,tt0110148,tt0338013"
