tconst,originalTitle,genres
tt1631867,Edge of Tomorrow,"Action,Adventure,Sci-Fi"
tt1638355,The Man from U.N.C.L.E.,"Action,Adventure,Comedy"
tt16419074,Air,"Drama,Sport"
tt1646971,How to Train Your Dragon 2,"Action,Adventure,Animation"
tt1650062,Super 8,"Action,Mystery,Sci-Fi"
tt1663202,The Revenant,"Action,Adventure,Drama"
tt1670345,Now You See Me,"Crime,Mystery,Thriller"
tt1677720,Ready Player One,"Action,Adventure,Sci-Fi"
tt1690953,Despicable Me 2,"Adventure,Animation,Comedy"
tt1707386,Les Misérables,"Drama,Musical,Romance"
tt1727824,Bohemian Rhapsody,"Biography,Drama,Music"
tt1745960,Top Gun: Maverick,"Action,Drama"
tt1754656,Le Petit Prince,"Adventure,Animation,Drama"
tt1772341,Wreck-It Ralph,"Adventure,Animation,Comedy"
tt1809398,Unbroken,"Action,Biography,Drama"
tt1825683,Black Panther,"Action,Adventure,Sci-Fi"
tt1843866,Captain America: The Winter Soldier,"Action,Adventure,Sci-Fi"
tt1853728,Django Unchained,"Drama,Western"
tt1856101,Blade Runner 2049,"Action,Drama,Mystery"
tt1860357,Deepwater Horizon,"Action,Drama,History"
tt1872194,The Judge,"Crime,Drama,Mystery"
tt1877830,The Batman,"Action,Crime,Drama"
tt1877832,X-Men: Days of Future Past,"Action,Adventure,Sci-Fi"
tt1905041,Furious 6,"Action,Crime,Thriller"
tt1950186,Ford v Ferrari,"Action,Biography,Drama"
tt1951264,The Hunger Games: Catching Fire,"Action,Adventure,Sci-Fi"
tt1979376,Toy Story 4,"Adventure,Animation,Comedy"
tt2015381,Guardians of the Galaxy,"Action,Adventure,Comedy"
tt2076298,Yip Man 4,"Action,Biography,Drama"
tt2096673,Inside Out,"Adventure,Animation,Comedy"
tt2103281,Dawn of the Planet of the Apes,"Action,Adventure,Drama"
tt2179136,American Sniper,"Action,Biography,Drama"
tt2245084,Big Hero 6,"Action,Adventure,Animation"
tt2250912,Spider-Man: Homecoming,"Action,Adventure,Sci-Fi"
tt2262227,The Book of Life,"Adventure,Animation,Comedy"
tt2267968,Kung Fu Panda 3,"Action,Adventure,Animation"
tt2267998,Gone Girl,"Drama,Mystery,Thriller"
tt2277860,Finding Dory,"Adventure,Animation,Comedy"
tt2283362,Jumanji: Welcome to the Jungle,"Action,Adventure,Comedy"
tt2294449,22 Jump Street,"Action,Comedy,Crime"
tt2294629,Frozen,"Adventure,Animation,Comedy"
tt2310332,The Hobbit: The Battle of the Five Armies,"Adventure,Fantasy"
tt2380307,Coco,"Adventure,Animation,Drama"
tt2381249,Mission: Impossible - Rogue Nation,"Action,Adventure,Thriller"
tt2382320,No Time to Die,"Action,Adventure,Thriller"
tt2386490,How to Train Your Dragon: The Hidden World,"Action,Adventure,Animation"
tt2395427,Avengers: Age of Ultron,"Action,Adventure,Sci-Fi"
tt2452042,The Peanuts Movie,"Adventure,Animation,Comedy"
tt2488496,Star Wars: Episode VII - The Force Awakens,"Action,Adventure,Sci-Fi"
tt2660888,Star Trek Beyond,"Action,Adventure,Sci-Fi"
tt2713180,Fury,"Action,Drama,War"
tt2719848,Everest,"Action,Adventure,Biography"
tt2771200,Beauty and the Beast,"Adventure,Family,Fantasy"
tt2802144,Kingsman: The Secret Service,"Action,Adventure,Comedy"
tt2820852,Fast & Furious 7,"Action,Crime,Thriller"
tt2906216,Dungeons & Dragons: Honor Among Thieves,"Action,Adventure,Comedy"
tt2948356,Zootopia,"Action,Adventure,Animation"
tt2948372,Soul,"Adventure,Animation,Comedy"
tt2953050,Encanto,"Animation,Comedy,Family"
tt3040964,The Jungle Book,"Action,Adventure,Animation"
tt3079380,Spy,"Action,Comedy"
tt3183660,Fantastic Beasts and Where to Find Them,"Adventure,Family,Fantasy"
tt3228774,Cruella,"Adventure,Comedy,Crime"
tt3263904,Sully,"Biography,Drama"
tt3315342,Logan,"Action,Drama,Sci-Fi"
tt3450958,War for the Planet of the Apes,"Action,Adventure,Drama"
tt3470600,Sing,"Animation,Comedy,Family"
tt3498820,Captain America: Civil War,"Action,Sci-Fi"
tt3501632,Thor: Ragnarok,"Action,Adventure,Comedy"
tt3521164,Moana,"Adventure,Animation,Comedy"
tt3532216,American Made,"Action,Comedy,Crime"
tt3581652,West Side Story,"Crime,Drama,Musical"
tt3606756,Incredibles 2,"Action,Adventure,Animation"
tt3640424,Allied,"Action,Drama,Romance"
tt3659388,The Martian,"Adventure,Drama,Sci-Fi"
tt3704428,Elvis,"Biography,Drama,Music"
tt3748528,Rogue One,"Action,Adventure,Sci-Fi"
tt3799694,The Nice Guys,"Action,Comedy,Crime"
tt3896198,Guardians of the Galaxy Vol. 2,"Action,Adventure,Comedy"
tt3915174,Puss in Boots: The Last Wish,"Action,Adventure,Animation"
tt3921314,Mohammad Rasoolollah,"Biography,Drama,History"
tt3967856,Okja,"Action,Adventure,Drama"
tt4116284,The Lego Batman Movie,"Action,Adventure,Animation"
tt4154756,Avengers: Infinity War,"Action,Adventure,Sci-Fi"
tt4154796,Avengers: Endgame,"Action,Adventure,Drama"
tt4172430,13 Hours,"Action,Drama,History"
tt4244994,The Last Duel,"Action,Drama,History"
tt4302938,Kubo and the Two Strings,"Action,Adventure,Animation"
tt4513678,Ghostbusters: Afterlife,"Adventure,Comedy,Fantasy"
tt4575576,Christopher Robin,"Adventure,Comedy,Drama"
tt4633694,Spider-Man: Into the Spider-Verse,"Action,Adventure,Animation"
tt4873118,The Covenant,"Action,Drama,Thriller"
tt4912910,Mission: Impossible - Fallout,"Action,Adventure,Thriller"
tt5095030,Ant-Man and the Wasp,"Action,Adventure,Comedy"
tt5104604,Isle of Dogs,"Adventure,Animation,Comedy"
tt5109280,Raya and the Last Dragon,"Action,Adventure,Animation"
tt5463162,Deadpool 2,"Action,Adventure,Comedy"
tt5478478,Hostiles,"Drama,Western"
tt5537002,Killers of the Flower Moon,"Crime,Drama,History"
tt5571734,Pink,"Crime,Drama,Thriller"
tt5848272,Ralph Breaks the Internet,"Adventure,Animation,Comedy"
tt6019206,Kill Bill: The Whole Bloody Affair,"Action,Crime,Thriller"
tt6048922,Greyhound,"Action,Drama,History"
tt6146586,John Wick: Chapter 3 - Parabellum,"Action,Crime,Thriller"
tt6166392,Wonka,"Adventure,Comedy,Family"
tt6264654,Free Guy,"Action,Adventure,Comedy"
tt6266538,Vice,"Biography,Comedy,Drama"
tt6294822,The Post,"Biography,Drama,History"
tt6320628,Spider-Man: Far from Home,"Action,Adventure,Comedy"
tt6324278,Abominable,"Adventure,Animation,Comedy"
tt6334354,The Suicide Squad,"Action,Adventure,Comedy"
tt6343314,Creed II,"Action,Drama,Sport"
tt6467266,Sing 2,"Adventure,Animation,Comedy"
tt6718170,The Super Mario Bros. Movie,"Adventure,Animation,Comedy"
tt6723592,Tenet,"Action,Sci-Fi,Thriller"
tt6791350,Guardians of the Galaxy Vol. 3,"Action,Adventure,Comedy"
tt7131622,Once Upon a Time in... Hollywood,"Comedy,Drama"
tt7146812,Onward,"Adventure,Animation,Comedy"
tt7286456,Joker,"Crime,Drama,Thriller"
tt7405458,A Man Called Otto,"Comedy,Drama"
tt7740496,Nightmare Alley,"Crime,Drama,Thriller"
tt7959026,The Mule,"Crime,Drama,Thriller"
tt7979580,The Mitchells vs the Machines,"Adventure,Animation,Comedy"
tt8097030,Turning Red,"Adventure,Animation,Comedy"
tt8178634,RRR (Rise Roar Revolt),"Action,Adventure,Drama"
tt8332922,A Quiet Place Part II,"Drama,Horror,Sci-Fi"
tt8579674,1917,"Action,Drama,History"
tt8912936,DC League of Super-Pets,"Action,Adventure,Animation"
tt9376612,Shang-Chi and the Legend of the Ten Rings,"Action,Adventure,Fantasy"
tt9603212,Mission: Impossible - Dead Reckoning Part One,"Action,Adventure,Thriller"
tt9620288,King Richard,"Biography,Drama,Sport"
