nconst,primaryName,knownForTitles
nm0241038,Claire Duhamel,"tt0065651,tt0063152,tt0062695,tt1470880"
nm0265948,André Falcon,"tt0076740,tt0047659,tt0173594,tt0167655"
nm0274949,Martine Ferrière,"tt0064990,tt0167585,tt0101863,tt0074712"
nm0366061,Harry-Max,"tt0167542,tt0062695,tt0064425,tt0057278"
nm0415283,Claude Jade,"tt0065651,tt0065112,tt0078771,tt0062695"
nm0527555,Catherine Lutz,"tt0054389,tt0055093,tt0062695,tt1543883"
nm0529543,Jean-Pierre Léaud,"tt0053198,tt0099818,tt0065651,tt0060675"
nm0786891,Delphine Seyrig,"tt0069947,tt0062695,tt0068361,tt0073198"
nm0001128,Alain Delon,"tt0062229,tt0057091,tt0054189,tt0056736"
nm0056407,Philippe Baronnet,"tt0270127,tt0065957,tt0164606,tt0089072"
nm0087468,Karen Blanguernon,"tt0054705,tt0064137,tt0167559,tt0188042"
nm0104064,Yves Brainville,"tt0049470,tt0073312,tt0062038,tt0197199"
nm0119587,Gérard Buhr,"tt0090264,tt0069947,tt0073312,tt0062038"
nm0147854,Elisa Cegani,"tt0027922,tt0038560,tt0039352,tt0047265"
nm0218464,Irina Demick,"tt0056197,tt0065792,tt0068777,tt0141673"
nm0300064,Jean Gabin,"tt0028950,tt0030643,tt0050669,tt0046451"
nm0623443,Amedeo Nazzari,"tt0050783,tt0038327,tt0041232,tt0046447"
nm0833819,Jacques-Eric Strauss,"tt0118604,tt0093769,tt0098396,tt0068724"
nm0893341,Lino Ventura,"tt0051378,tt0064040,tt0069815,tt0084340"
nm0894577,Henri Verneuil,"tt0079322,tt0047250,tt0102421,tt0056917"
nm0000076,François Truffaut,"tt0070460,tt0075860,tt0053198,tt0055032"
nm0000366,Catherine Deneuve,"tt0283832,tt0061395,tt0168629,tt0059646"
nm0000366,Catherine Deneuve,"tt0283832,tt0061395,tt0168629,tt0059646"
nm0000901,Jean-Paul Belmondo,"tt0059592,tt0053472,tt0055082,tt0061452"
nm0073338,Marcel Berbert,"tt0091288,tt0064990,tt0065651,tt0070460"
nm0096501,Nelly Borgeaud,"tt0098534,tt0064990,tt0078338,tt0076155"
nm0099677,Michel Bouquet,"tt2150332,tt0364301,tt0064323,tt0268219"
nm0238347,Yves Drouhet,tt0064990
nm0274949,Martine Ferrière,"tt0064990,tt0167585,tt0101863,tt0074712"
nm0862374,Roland Thénot,"tt0091288,tt0064990,tt0064126,tt0080610"
nm0119681,Paul Buissonneau,"tt0301374,tt0095649,tt0168246,tt0122436"
nm0221667,Clémence DesRochers,"tt0366532,tt4009646,tt0380089,tt0485149"
nm0239808,Yvan Ducharme,"tt0157262,tt0189290,tt0083296,tt0074526"
nm0280954,Andrée Flamand,"tt0064607,tt0065166,tt0131185"
nm0324064,Guy Godin,"tt0301374,tt0125048,tt0193125,tt0065166"
nm0405759,Denis Héroux,"tt0080388,tt0082484,tt0086942,tt0098238"
nm0634886,Henri Norbert,"tt0247517,tt0195166,tt0297058,tt0285529"
nm0653540,Danielle Ouimet,"tt0067690,tt0065166,tt27796416,tt0195166"
